date,actual,predicted
2022-07-23 00:00:00,1.0,3.0
2022-07-21 00:00:00,5.0,2.0
2022-07-18 00:00:00,1.0,5.0
2022-07-17 00:00:00,3.0,5.666666666666667
2022-07-12 00:00:00,5.0,5.0
2022-07-11 00:00:00,7.0,5.333333333333333
2022-07-10 00:00:00,5.0,5.4
2022-07-09 00:00:00,1.0,6.6
2022-07-07 00:00:00,5.0,6.5
2022-07-06 00:00:00,7.0,5.833333333333333
2022-07-05 00:00:00,5.0,7.0
2022-07-04 00:00:00,9.0,6.333333333333333
2022-07-02 00:00:00,7.0,5.333333333333333
2022-07-01 00:00:00,5.0,5.4
2022-06-30 00:00:00,6.0,5.25
2022-06-29 00:00:00,3.0,4.75
2022-06-28 00:00:00,12.0,2.3333333333333335
2022-06-27 00:00:00,5.0,1.0
2022-06-26 00:00:00,1.0,2.0
2022-06-22 00:00:00,1.0,3.0
2022-06-19 00:00:00,3.0,0
2022-06-11 00:00:00,5.0,6.4
2022-06-10 00:00:00,5.0,5.6
2022-06-08 00:00:00,11.0,3.8333333333333335
2022-06-07 00:00:00,5.0,3.6
2022-06-06 00:00:00,2.0,3.6
2022-06-05 00:00:00,9.0,2.25
2022-06-03 00:00:00,1.0,3.2
2022-06-02 00:00:00,1.0,3.75
2022-06-01 00:00:00,5.0,3.3333333333333335
2022-05-30 00:00:00,2.0,4.0
2022-05-28 00:00:00,7.0,1.3333333333333333
2022-05-27 00:00:00,1.0,1.5
2022-05-22 00:00:00,2.0,4.666666666666667
2022-05-21 00:00:00,1.0,6.5
2022-05-18 00:00:00,3.0,4.0
2022-05-15 00:00:00,10.0,2.25
2022-05-13 00:00:00,1.0,2.8
2022-05-12 00:00:00,1.0,2.8
2022-05-10 00:00:00,5.0,2.4
2022-05-09 00:00:00,2.0,2.4
2022-05-07 00:00:00,5.0,2.4
2022-05-06 00:00:00,1.0,2.75
2022-05-05 00:00:00,1.0,3.3333333333333335
2022-05-03 00:00:00,3.0,3.5
2022-05-02 00:00:00,2.0,3.0
2022-05-01 00:00:00,5.0,1.0
2022-04-25 00:00:00,1.0,1.5
2022-04-23 00:00:00,2.0,1.3333333333333333
2022-04-22 00:00:00,1.0,1.5
2022-04-21 00:00:00,2.0,4.0
2022-04-18 00:00:00,1.0,7.0
2022-04-14 00:00:00,7.0,3.0
2022-04-10 00:00:00,1.0,4.333333333333333
2022-04-07 00:00:00,5.0,3.25
2022-04-05 00:00:00,5.0,2.6666666666666665
2022-04-03 00:00:00,3.0,3.0
2022-04-01 00:00:00,2.0,2.75
2022-03-31 00:00:00,3.0,2.6666666666666665
2022-03-27 00:00:00,4.0,2.75
2022-03-26 00:00:00,3.0,2.6666666666666665
2022-03-25 00:00:00,1.0,5.0
2022-03-23 00:00:00,6.0,5.0
2022-03-22 00:00:00,1.0,5.333333333333333
2022-03-18 00:00:00,8.0,3.6666666666666665
2022-03-16 00:00:00,6.0,3.7142857142857144
2022-03-15 00:00:00,2.0,4.0
2022-03-14 00:00:00,6.0,3.1666666666666665
2022-03-13 00:00:00,5.0,2.8
2022-03-12 00:00:00,2.0,3.8
2022-03-11 00:00:00,1.0,3.8
2022-03-10 00:00:00,5.0,3.5
2022-03-09 00:00:00,5.0,3.0
2022-03-07 00:00:00,1.0,3.75
2022-03-05 00:00:00,7.0,2.2
2022-03-04 00:00:00,1.0,4.2
2022-03-01 00:00:00,5.0,5.571428571428571
2022-02-28 00:00:00,2.0,6.166666666666667
2022-02-27 00:00:00,2.0,7.0
2022-02-26 00:00:00,1.0,8.5
2022-02-25 00:00:00,11.0,7.5
2022-02-24 00:00:00,5.0,8.333333333333334
2022-02-23 00:00:00,4.0,7.666666666666667
2022-02-22 00:00:00,14.0,4.5
2022-02-18 00:00:00,7.0,3.5
2022-02-16 00:00:00,2.0,5.0
2022-02-11 00:00:00,5.0,4.4
2022-02-10 00:00:00,5.0,4.25
2022-02-07 00:00:00,5.0,6.0
2022-02-06 00:00:00,7.0,5.75
2022-02-05 00:00:00,2.0,6.0
2022-02-04 00:00:00,3.0,7.0
2022-02-02 00:00:00,13.0,4.0
2022-02-01 00:00:00,5.0,3.0
2022-01-29 00:00:00,3.0,1.0
2022-01-22 00:00:00,1.0,3.3333333333333335
2022-01-19 00:00:00,1.0,4.5
2022-01-16 00:00:00,2.0,5.333333333333333
2022-01-15 00:00:00,7.0,4.5
2022-01-10 00:00:00,5.0,4.0
2022-01-09 00:00:00,4.0,3.8333333333333335
2022-01-07 00:00:00,5.0,4.0
2022-01-06 00:00:00,1.0,4.571428571428571
2022-01-05 00:00:00,5.0,4.5
2022-01-04 00:00:00,2.0,7.0
2022-01-03 00:00:00,7.0,7.0
2022-01-02 00:00:00,3.0,8.0
2022-01-01 00:00:00,2.0,10.0
2021-12-31 00:00:00,8.0,11.0
2021-12-30 00:00:00,5.0,17.0
2021-12-28 00:00:00,17.0,14.0
2021-12-21 00:00:00,14.0,1.0
2021-12-18 00:00:00,1.0,1.0
2021-12-14 00:00:00,1.0,3.6666666666666665
2021-12-11 00:00:00,1.0,4.0
2021-12-10 00:00:00,5.0,3.0
2021-12-07 00:00:00,5.0,3.2
2021-12-05 00:00:00,5.0,3.6666666666666665
2021-12-04 00:00:00,1.0,4.2
2021-12-03 00:00:00,1.0,5.0
2021-12-01 00:00:00,2.0,6.0
2021-11-30 00:00:00,7.0,5.5
2021-11-29 00:00:00,3.0,8.0
2021-11-28 00:00:00,8.0,0
2021-11-19 00:00:00,2.0,5.0
2021-11-15 00:00:00,1.0,5.5
2021-11-14 00:00:00,9.0,2.0
2021-11-10 00:00:00,2.0,4.0
2021-11-05 00:00:00,5.0,4.0
2021-11-03 00:00:00,3.0,3.6666666666666665
2021-11-02 00:00:00,4.0,3.5
2021-11-01 00:00:00,5.0,2.0
2021-10-28 00:00:00,2.0,4.0
2021-10-24 00:00:00,7.0,1.0
2021-10-22 00:00:00,1.0,0
2021-10-14 00:00:00,6.0,3.5
2021-10-10 00:00:00,5.0,3.5
2021-10-09 00:00:00,2.0,5.0
2021-10-05 00:00:00,5.0,1.0
2021-10-01 00:00:00,1.0,0
2021-09-12 00:00:00,1.0,3.4
2021-09-11 00:00:00,1.0,4.0
2021-09-10 00:00:00,5.0,3.6666666666666665
2021-09-08 00:00:00,1.0,5.0
2021-09-07 00:00:00,5.0,5.0
2021-09-05 00:00:00,5.0,3.5
2021-09-01 00:00:00,5.0,2.0
2021-08-29 00:00:00,2.0,5.0
2021-08-24 00:00:00,7.0,4.333333333333333
2021-08-23 00:00:00,1.0,6.0
2021-08-22 00:00:00,7.0,5.0
2021-08-21 00:00:00,5.0,5.0
2021-08-14 00:00:00,5.0,5.0
2021-08-10 00:00:00,5.0,4.666666666666667
2021-08-07 00:00:00,5.0,4.666666666666667
2021-08-05 00:00:00,5.0,4.5
2021-08-04 00:00:00,4.0,5.0
2021-08-01 00:00:00,5.0,0
2021-07-12 00:00:00,5.0,5.0
2021-07-07 00:00:00,5.0,6.666666666666667
2021-07-05 00:00:00,5.0,7.5
2021-07-01 00:00:00,5.0,8.5
2021-06-30 00:00:00,10.0,7.0
2021-06-27 00:00:00,7.0,7.0
2021-06-20 00:00:00,7.0,3.0
2021-06-19 00:00:00,3.0,0
2021-06-10 00:00:00,5.0,5.0
2021-06-07 00:00:00,5.0,5.0
2021-06-05 00:00:00,5.0,5.0
2021-06-01 00:00:00,5.0,0
2021-05-22 00:00:00,6.0,7.0
2021-05-19 00:00:00,9.0,5.0
2021-05-17 00:00:00,5.0,5.0
2021-05-10 00:00:00,5.0,5.0
2021-05-07 00:00:00,5.0,5.0
2021-05-05 00:00:00,5.0,5.0
2021-05-01 00:00:00,5.0,0
2021-04-12 00:00:00,5.0,5.0
2021-04-07 00:00:00,5.0,4.25
2021-04-05 00:00:00,5.0,4.25
2021-04-03 00:00:00,6.0,3.6666666666666665
2021-04-02 00:00:00,1.0,5.0
2021-04-01 00:00:00,5.0,5.0
2021-03-29 00:00:00,5.0,0
2021-03-16 00:00:00,4.0,4.0
2021-03-11 00:00:00,3.0,5.0
2021-03-10 00:00:00,5.0,5.0
2021-03-08 00:00:00,5.0,5.0
2021-03-05 00:00:00,5.0,5.0
2021-03-02 00:00:00,5.0,5.0
2021-02-28 00:00:00,5.0,3.5
2021-02-26 00:00:00,5.0,2.0
2021-02-22 00:00:00,2.0,0
2021-02-13 00:00:00,2.0,6.0
2021-02-10 00:00:00,5.0,6.0
2021-02-08 00:00:00,5.0,6.0
2021-02-07 00:00:00,8.0,5.0
2021-02-05 00:00:00,5.0,5.0
2021-02-01 00:00:00,5.0,5.0
2021-01-31 00:00:00,5.0,0
2021-01-13 00:00:00,9.0,3.6666666666666665
2021-01-12 00:00:00,1.0,5.0
2021-01-11 00:00:00,5.0,5.0
2021-01-07 00:00:00,5.0,6.333333333333333
2021-01-05 00:00:00,5.0,6.333333333333333
2021-01-01 00:00:00,5.0,7.0
2020-12-31 00:00:00,9.0,5.0
2020-12-30 00:00:00,5.0,0
2020-12-19 00:00:00,4.0,0
2020-12-11 00:00:00,5.0,5.0
2020-12-10 00:00:00,5.0,5.0
2020-12-07 00:00:00,5.0,6.0
2020-12-05 00:00:00,5.0,4.5
2020-12-01 00:00:00,7.0,2.0
2020-11-29 00:00:00,2.0,0
